file_name,set,class
nonDem1098.jpg,train,NonDemented
verymildDem1287.jpg,train,VeryMildDemented
nonDem1334.jpg,train,NonDemented
mildDem455.jpg,train,MildDemented
verymildDem1462.jpg,train,VeryMildDemented
31 (48).jpg,train,NonDemented
verymildDem1742.jpg,train,VeryMildDemented
verymildDem854.jpg,train,VeryMildDemented
nonDem1224.jpg,train,NonDemented
verymildDem1692.jpg,train,VeryMildDemented
mildDem460.jpg,train,MildDemented
nonDem40.jpg,train,NonDemented
nonDem1807.jpg,train,NonDemented
verymildDem570.jpg,train,VeryMildDemented
30 (72).jpg,train,NonDemented
verymildDem1564.jpg,train,VeryMildDemented
nonDem851.jpg,train,NonDemented
nonDem2088.jpg,train,NonDemented
nonDem1790.jpg,train,NonDemented
verymildDem587.jpg,train,VeryMildDemented
verymildDem1215.jpg,train,VeryMildDemented
verymildDem1084.jpg,train,VeryMildDemented
nonDem1341.jpg,train,NonDemented
mildDem1.jpg,train,MildDemented
31 (99).jpg,train,NonDemented
32 (2).jpg,train,NonDemented
nonDem1428.jpg,train,NonDemented
verymildDem482.jpg,train,VeryMildDemented
mildDem649.jpg,train,MildDemented
mildDem52.jpg,train,MildDemented
nonDem1994.jpg,train,NonDemented
mildDem650.jpg,train,MildDemented
verymildDem1262.jpg,train,VeryMildDemented
verymildDem1728.jpg,train,VeryMildDemented
26 (73).jpg,train,NonDemented
verymildDem765.jpg,train,VeryMildDemented
verymildDem1173.jpg,train,VeryMildDemented
nonDem648.jpg,train,NonDemented
mildDem540.jpg,train,MildDemented
nonDem665.jpg,train,NonDemented
verymildDem1009.jpg,train,VeryMildDemented
nonDem797.jpg,train,NonDemented
nonDem438.jpg,train,NonDemented
nonDem2018.jpg,train,NonDemented
mildDem325.jpg,train,MildDemented
verymildDem437.jpg,train,VeryMildDemented
nonDem32.jpg,train,NonDemented
verymildDem1577.jpg,train,VeryMildDemented
nonDem2208.jpg,train,NonDemented
26 (60).jpg,train,VeryMildDemented
mildDem71.jpg,train,MildDemented
nonDem1469.jpg,train,NonDemented
verymildDem83.jpg,train,VeryMildDemented
nonDem78.jpg,train,NonDemented
31 (43).jpg,train,NonDemented
nonDem0.jpg,train,NonDemented
nonDem484.jpg,train,NonDemented
mildDem99.jpg,train,MildDemented
nonDem2072.jpg,train,NonDemented
mildDem584.jpg,train,MildDemented
nonDem796.jpg,train,NonDemented
nonDem501.jpg,train,NonDemented
31 (33).jpg,train,NonDemented
nonDem1171.jpg,train,NonDemented
nonDem2466.jpg,train,NonDemented
32 (17).jpg,train,VeryMildDemented
nonDem1259.jpg,train,NonDemented
nonDem2386.jpg,train,NonDemented
verymildDem299.jpg,train,VeryMildDemented
nonDem661.jpg,train,NonDemented
29 (31).jpg,train,VeryMildDemented
verymildDem736.jpg,train,VeryMildDemented
verymildDem690.jpg,train,VeryMildDemented
verymildDem57.jpg,train,VeryMildDemented
nonDem1965.jpg,train,NonDemented
32 (41).jpg,train,NonDemented
nonDem1897.jpg,train,NonDemented
verymildDem976.jpg,train,VeryMildDemented
nonDem1636.jpg,train,NonDemented
verymildDem1702.jpg,train,VeryMildDemented
nonDem156.jpg,train,NonDemented
nonDem837.jpg,train,NonDemented
mildDem479.jpg,train,MildDemented
nonDem120.jpg,train,NonDemented
31 (84).jpg,train,NonDemented
